club_id,club_code,name_x,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url_x,competition_id,competition_code,name_y,sub_type,type,country_id,country_name,domestic_league_code,confederation,url_y,is_major_national_league
2457,belenenses-sad,B SAD,PO1,,25,24.2,13,52.0,4,Estádio Nacional do Jamor,37593,+€1.80m,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/belenenses-sad/startseite/verein/2457,PO1,liga-portugal-bwin,liga-portugal-bwin,first_tier,domestic_league,136,Portugal,PO1,europa,https://www.transfermarkt.co.uk/liga-portugal-bwin/startseite/wettbewerb/PO1,False
2990,academica-coimbra,Académica Coimbra,PO1,,26,25.2,6,23.1,0,Estádio Cidade de Coimbra,29744,+€150k,,2015,../data/raw/transfermarkt-scraper/2015/clubs.json.gz,https://www.transfermarkt.co.uk/academica-coimbra/startseite/verein/2990,PO1,liga-portugal-bwin,liga-portugal-bwin,first_tier,domestic_league,136,Portugal,PO1,europa,https://www.transfermarkt.co.uk/liga-portugal-bwin/startseite/wettbewerb/PO1,False
8024,fc-arouca,Futebol Clube de Arouca,PO1,,26,26.0,18,69.2,2,Estádio Municipal de Arouca,5600,+€15.10m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-arouca/startseite/verein/8024,PO1,liga-portugal-bwin,liga-portugal-bwin,first_tier,domestic_league,136,Portugal,PO1,europa,https://www.transfermarkt.co.uk/liga-portugal-bwin/startseite/wettbewerb/PO1,False
1465,gd-estoril-praia,Grupo Desportivo Estoril Praia,PO1,,22,25.5,15,68.2,4,Estádio António Coimbra da Mota,5100,+€5.75m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/gd-estoril-praia/startseite/verein/1465,PO1,liga-portugal-bwin,liga-portugal-bwin,first_tier,domestic_league,136,Portugal,PO1,europa,https://www.transfermarkt.co.uk/liga-portugal-bwin/startseite/wettbewerb/PO1,False
336,sporting-lissabon,Sporting Clube de Portugal,PO1,,26,24.5,13,50.0,14,Estádio José Alvalade,50095,€-17.54m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/sporting-lissabon/startseite/verein/336,PO1,liga-portugal-bwin,liga-portugal-bwin,first_tier,domestic_league,136,Portugal,PO1,europa,https://www.transfermarkt.co.uk/liga-portugal-bwin/startseite/wettbewerb/PO1,False
3325,gd-chaves,GD Chaves,PO1,,29,25.8,17,58.6,1,Estádio Municipal Eng.º Manuel Branco Teixeira,8396,+€1.40m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/gd-chaves/startseite/verein/3325,PO1,liga-portugal-bwin,liga-portugal-bwin,first_tier,domestic_league,136,Portugal,PO1,europa,https://www.transfermarkt.co.uk/liga-portugal-bwin/startseite/wettbewerb/PO1,False
3327,fc-penafiel,FC Penafiel,PO1,,28,27.9,4,14.3,0,Estádio Municipal 25 de Abril,5230,+-0,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/fc-penafiel/startseite/verein/3327,PO1,liga-portugal-bwin,liga-portugal-bwin,first_tier,domestic_league,136,Portugal,PO1,europa,https://www.transfermarkt.co.uk/liga-portugal-bwin/startseite/wettbewerb/PO1,False
4294,sc-farense,Sporting Clube Farense,PO1,,26,27.9,14,53.8,3,Estádio de São Luís,7000,+€7.50m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/sc-farense/startseite/verein/4294,PO1,liga-portugal-bwin,liga-portugal-bwin,first_tier,domestic_league,136,Portugal,PO1,europa,https://www.transfermarkt.co.uk/liga-portugal-bwin/startseite/wettbewerb/PO1,False
1436,sc-beira-mar,SC Beira-Mar,PO1,,26,26.6,8,30.8,0,Estádio Municipal de Aveiro,32830,+-0,,2012,../data/raw/transfermarkt-scraper/2012/clubs.json.gz,https://www.transfermarkt.co.uk/sc-beira-mar/startseite/verein/1436,PO1,liga-portugal-bwin,liga-portugal-bwin,first_tier,domestic_league,136,Portugal,PO1,europa,https://www.transfermarkt.co.uk/liga-portugal-bwin/startseite/wettbewerb/PO1,False
2995,fc-pacos-de-ferreira,FC Paços de Ferreira,PO1,,32,25.5,17,50.0,1,Estádio Capital do Móvel,9076,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/fc-pacos-de-ferreira/startseite/verein/2995,PO1,liga-portugal-bwin,liga-portugal-bwin,first_tier,domestic_league,136,Portugal,PO1,europa,https://www.transfermarkt.co.uk/liga-portugal-bwin/startseite/wettbewerb/PO1,False
