club_id,club_code,name_x,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url_x,competition_id,competition_code,name_y,sub_type,type,country_id,country_name,domestic_league_code,confederation,url_y,is_major_national_league
60551,sk-dnipro-1,SC Dnipro-1,UKR1,,0,0.0,0,,0,Dnipro-Arena,31003,+€6.90m,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/sk-dnipro-1/startseite/verein/60551,UKR1,premier-liga,premier-liga,first_tier,domestic_league,177,Ukraine,UKR1,europa,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/UKR1,False
6996,goverla-uzhgorod,Goverla Uzhgorod (- 2016),UKR1,,0,,0,,0,Avangard,10640,+-0,,2015,../data/raw/transfermarkt-scraper/2015/clubs.json.gz,https://www.transfermarkt.co.uk/goverla-uzhgorod/startseite/verein/6996,UKR1,premier-liga,premier-liga,first_tier,domestic_league,177,Ukraine,UKR1,europa,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/UKR1,False
2477,karpaty-lviv,Karpaty Lviv (-2021),UKR1,,0,,0,,0,Stadion Ukraina,28051,+-0,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/karpaty-lviv/startseite/verein/2477,UKR1,premier-liga,premier-liga,first_tier,domestic_league,177,Ukraine,UKR1,europa,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/UKR1,False
2740,vorskla-poltava,Vorskla Poltava,UKR1,,26,25.5,5,19.2,1,Vorskla im. Oleksiy Butovskyi,23842,+€2.60m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/vorskla-poltava/startseite/verein/2740,UKR1,premier-liga,premier-liga,first_tier,domestic_league,177,Ukraine,UKR1,europa,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/UKR1,False
55686,metalist-1925-kharkiv,Metalist 1925 Kharkiv,UKR1,,32,25.7,2,6.3,0,Stadion Kolos,0,€-620k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/metalist-1925-kharkiv/startseite/verein/55686,UKR1,premier-liga,premier-liga,first_tier,domestic_league,177,Ukraine,UKR1,europa,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/UKR1,False
83678,metal-kharkiv,Metalist Kharkiv,UKR1,,25,26.1,7,28.0,0,Avangard,10640,+€300k,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/metal-kharkiv/startseite/verein/83678,UKR1,premier-liga,premier-liga,first_tier,domestic_league,177,Ukraine,UKR1,europa,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/UKR1,False
18105,pfk-lviv,PFK Lviv,UKR1,,3,18.3,0,,0,Stadion SKIF,3742,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/pfk-lviv/startseite/verein/18105,UKR1,premier-liga,premier-liga,first_tier,domestic_league,177,Ukraine,UKR1,europa,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/UKR1,False
16239,desna-chernigiv,Desna Chernigiv,UKR1,,0,,0,,0,Stadion im. Yuriya Gagarina,12060,+-0,,2021,../data/raw/transfermarkt-scraper/2021/clubs.json.gz,https://www.transfermarkt.co.uk/desna-chernigiv/startseite/verein/16239,UKR1,premier-liga,premier-liga,first_tier,domestic_league,177,Ukraine,UKR1,europa,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/UKR1,False
39097,fk-obolon-kiew,FK Obolon Kyiv,UKR1,,26,28.1,0,,0,Obolon-Arena,5103,+€350k,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fk-obolon-kiew/startseite/verein/39097,UKR1,premier-liga,premier-liga,first_tier,domestic_league,177,Ukraine,UKR1,europa,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/UKR1,False
16247,pfk-stal-kamyanske,PFK Stal Kamyanske (-2018),UKR1,,0,,0,,0,Obolon,5100,+-0,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/pfk-stal-kamyanske/startseite/verein/16247,UKR1,premier-liga,premier-liga,first_tier,domestic_league,177,Ukraine,UKR1,europa,https://www.transfermarkt.co.uk/premier-liga/startseite/wettbewerb/UKR1,False
