club_id,club_code,name_x,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url_x,competition_id,competition_code,name_y,sub_type,type,country_id,country_name,domestic_league_code,confederation,url_y,is_major_national_league
2578,st-johnstone-fc,Saint Johnstone Football Club,SC1,,26,26.2,19,73.1,3,McDiarmid Park,10696,+-0,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/st-johnstone-fc/startseite/verein/2578,SC1,scottish-premiership,scottish-premiership,first_tier,domestic_league,190,Scotland,SC1,europa,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1,False
511,dundee-fc,Dundee Football Club,SC1,,26,26.0,15,57.7,2,Kilmac Stadium at Dens Park,11850,+€1.20m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/dundee-fc/startseite/verein/511,SC1,scottish-premiership,scottish-premiership,first_tier,domestic_league,190,Scotland,SC1,europa,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1,False
903,hibernian-fc,Hibernian Football Club,SC1,,25,26.9,20,80.0,7,Easter Road Stadium,20250,€-521k,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/hibernian-fc/startseite/verein/903,SC1,scottish-premiership,scottish-premiership,first_tier,domestic_league,190,Scotland,SC1,europa,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1,False
124,glasgow-rangers,Rangers Football Club,SC1,,25,26.1,21,84.0,10,Ibrox Stadium,50987,€-13.91m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/glasgow-rangers/startseite/verein/124,SC1,scottish-premiership,scottish-premiership,first_tier,domestic_league,190,Scotland,SC1,europa,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1,False
2553,kilmarnock-fc,Kilmarnock Football Club,SC1,,24,27.3,9,37.5,2,"BBSP Stadium, Rugby Park",18128,+-0,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/kilmarnock-fc/startseite/verein/2553,SC1,scottish-premiership,scottish-premiership,first_tier,domestic_league,190,Scotland,SC1,europa,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1,False
1519,dundee-united-fc,Dundee United Football Club,SC1,,22,26.7,13,59.1,4,Tannadice Park,14223,+€40k,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/dundee-united-fc/startseite/verein/1519,SC1,scottish-premiership,scottish-premiership,first_tier,domestic_league,190,Scotland,SC1,europa,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1,False
43,heart-of-midlothian-fc,Heart of Midlothian Football Club,SC1,,29,27.0,12,41.4,7,Tynecastle Park,19852,+€1.83m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/heart-of-midlothian-fc/startseite/verein/43,SC1,scottish-premiership,scottish-premiership,first_tier,domestic_league,190,Scotland,SC1,europa,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1,False
370,aberdeen-fc,Aberdeen Football Club,SC1,,26,25.7,19,73.1,7,Pittodrie Stadium,20866,+€3.89m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/aberdeen-fc/startseite/verein/370,SC1,scottish-premiership,scottish-premiership,first_tier,domestic_league,190,Scotland,SC1,europa,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1,False
2451,inverness-caledonian-thistle-fc,Inverness Caledonian Thistle FC,SC1,,26,24.5,9,34.6,0,Tulloch Caledonian Stadium,7750,+-0,,2016,../data/raw/transfermarkt-scraper/2016/clubs.json.gz,https://www.transfermarkt.co.uk/inverness-caledonian-thistle-fc/startseite/verein/2451,SC1,scottish-premiership,scottish-premiership,first_tier,domestic_league,190,Scotland,SC1,europa,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1,False
2760,partick-thistle-fc,Partick Thistle FC,SC1,,19,27.9,1,5.3,0,The Energy Check Stadium at Firhill,10102,+-0,,2017,../data/raw/transfermarkt-scraper/2017/clubs.json.gz,https://www.transfermarkt.co.uk/partick-thistle-fc/startseite/verein/2760,SC1,scottish-premiership,scottish-premiership,first_tier,domestic_league,190,Scotland,SC1,europa,https://www.transfermarkt.co.uk/scottish-premiership/startseite/wettbewerb/SC1,False
