club_id,club_code,name_x,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,last_season,filename,url_x,competition_id,competition_code,name_y,sub_type,type,country_id,country_name,domestic_league_code,confederation,url_y,is_major_national_league
1894,hvidovre-if,Hvidovre IF,DK1,,25,26.4,3,12.0,2,PRO VENTILATION Arena,12000,+€225k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/hvidovre-if/startseite/verein/1894,DK1,superligaen,superligaen,first_tier,domestic_league,39,Denmark,DK1,europa,https://www.transfermarkt.co.uk/superligaen/startseite/wettbewerb/DK1,False
190,fc-kopenhagen,Football Club København,DK1,,28,26.1,19,67.9,9,Parken,38065,+€35.06m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/fc-kopenhagen/startseite/verein/190,DK1,superligaen,superligaen,first_tier,domestic_league,39,Denmark,DK1,europa,https://www.transfermarkt.co.uk/superligaen/startseite/wettbewerb/DK1,False
2414,ac-horsens,AC Horsens,DK1,,19,25.1,9,47.4,4,Nordstern Arena Horsens,10400,+-0,,2022,../data/raw/transfermarkt-scraper/2022/clubs.json.gz,https://www.transfermarkt.co.uk/ac-horsens/startseite/verein/2414,DK1,superligaen,superligaen,first_tier,domestic_league,39,Denmark,DK1,europa,https://www.transfermarkt.co.uk/superligaen/startseite/wettbewerb/DK1,False
1177,silkeborg-if,Silkeborg Idrætsforening,DK1,,22,24.7,5,22.7,2,JYSK Park,10000,+€7.66m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/silkeborg-if/startseite/verein/1177,DK1,superligaen,superligaen,first_tier,domestic_league,39,Denmark,DK1,europa,https://www.transfermarkt.co.uk/superligaen/startseite/wettbewerb/DK1,False
5817,sonderjyske,Sønderjyske Fodbold,DK1,,27,24.9,12,44.4,3,Sydbank Park,10100,€-760k,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/sonderjyske/startseite/verein/5817,DK1,superligaen,superligaen,first_tier,domestic_league,39,Denmark,DK1,europa,https://www.transfermarkt.co.uk/superligaen/startseite/wettbewerb/DK1,False
173,odense-boldklub,Odense Boldklub,DK1,,25,23.4,12,48.0,6,Nature Energy Park,15790,+€916k,,2023,../data/raw/transfermarkt-scraper/2023/clubs.json.gz,https://www.transfermarkt.co.uk/odense-boldklub/startseite/verein/173,DK1,superligaen,superligaen,first_tier,domestic_league,39,Denmark,DK1,europa,https://www.transfermarkt.co.uk/superligaen/startseite/wettbewerb/DK1,False
206,brondby-if,Brøndby Idrætsforening,DK1,,22,25.9,9,40.9,3,Brøndby Stadion,28000,€-1.61m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/brondby-if/startseite/verein/206,DK1,superligaen,superligaen,first_tier,domestic_league,39,Denmark,DK1,europa,https://www.transfermarkt.co.uk/superligaen/startseite/wettbewerb/DK1,False
3426,esbjerg-fb,Esbjerg fB,DK1,,27,22.7,10,37.0,2,Blue Water Arena,16942,+-0,,2019,../data/raw/transfermarkt-scraper/2019/clubs.json.gz,https://www.transfermarkt.co.uk/esbjerg-fb/startseite/verein/3426,DK1,superligaen,superligaen,first_tier,domestic_league,39,Denmark,DK1,europa,https://www.transfermarkt.co.uk/superligaen/startseite/wettbewerb/DK1,False
20100,fc-vestsjaelland,FC Vestsjaelland,DK1,,0,,0,,0,Harboe Arena,10000,+-0,,2014,../data/raw/transfermarkt-scraper/2014/clubs.json.gz,https://www.transfermarkt.co.uk/fc-vestsjaelland/startseite/verein/20100,DK1,superligaen,superligaen,first_tier,domestic_league,39,Denmark,DK1,europa,https://www.transfermarkt.co.uk/superligaen/startseite/wettbewerb/DK1,False
443,vejle-boldklub,Vejle Boldklub,DK1,,27,25.5,16,59.3,4,Vejle Stadion,10418,+€5.50m,,2024,../data/raw/transfermarkt-scraper/2024/clubs.json.gz,https://www.transfermarkt.co.uk/vejle-boldklub/startseite/verein/443,DK1,superligaen,superligaen,first_tier,domestic_league,39,Denmark,DK1,europa,https://www.transfermarkt.co.uk/superligaen/startseite/wettbewerb/DK1,False
